id,name,description,imageUrl,appUrl,tags,version,lastUpdated,status,category,ai_engineer
app-unique-001,AI Powered LMS,"Transform corporate training with the HERE AND NOW AI-Powered LMS. Our platform uses AI to create personalized learning experiences, automate administrative tasks, and provide actionable analytics to drive learner engagement and skill development.",https://raw.githubusercontent.com/hereandnowai/images/refs/heads/main/app-images/lms.png,https://test.hereandnowai.com/,"AI Powered LMS, Personalized Learning, Corporate Training, eLearning, AI in Education, HR Tech, Learning Analytics, HERE AND NOW AI",1.5.0,2025-06-15,Live,LMS,BK
app-unique-002,AI Chatbot,"Enhance customer engagement and provide instant, 24/7 support with an intelligent, conversational AI.",https://raw.githubusercontent.com/hereandnowai/images/refs/heads/main/app-images/caramel-ai-chatbot.png,https://chatbot.hereandnowai.com/,"AI Chatbot, Customer Support, Conversational AI, Automated Support",1.0.0,2025-06-06,Live,Chatbot,RR
app-unique-003,RAG Bot,"Leverage Retrieval-Augmented Generation to provide accurate, context-aware answers from your private knowledge base.",https://raw.githubusercontent.com/hereandnowai/images/refs/heads/main/app-images/Caramel%20AI%20The%20RAG%20BOT.png,https://apps.hereandnowai.com/apps/rag_bot/,"RAG, Generative AI, Knowledge Management, Enterprise Search",1.0.0,2025-06-13,Live,RAG Bot,RR
app-unique-004,Automated Meeting Scheduling,"Streamline your scheduling process, save time, and eliminate back-and-forth emails with an intelligent meeting scheduler.",https://raw.githubusercontent.com/hereandnowai/images/refs/heads/main/app-images/ai_powered_meeting_scheduler.png,https://apps.hereandnowai.com/apps/ai_meeting_schedular/,"AI Scheduling, Automated Meetings, Productivity Tool, Calendar Management",1.0.0,2025-06-15,Beta,Business Administration,Sakthi
app-unique-005,Chatbot for Internal IT Support,"Provide instant IT assistance to your employees, resolve common issues automatically, and reduce helpdesk workload with a dedicated IT chatbot.",https://raw.githubusercontent.com/hereandnowai/images/refs/heads/main/app-images/chatbot_it_support.png,apps.hereandnowai.com/apps/it_support_chatbot,"IT Support, Helpdesk Automation, Internal Chatbot, Employee Support",1.0.0,2025-06-15,Beta,Business Administration,Sakthi
app-unique-006,Automated Document Classification & Routing,"Automatically categorize and route your business documents to the right teams and workflows, ensuring efficiency and accuracy.",https://raw.githubusercontent.com/hereandnowai/images/refs/heads/main/app-images/ai_document_classifier.png,https://apps.hereandnowai.com/apps/docintel_ai_document_classifier/,"Document Classification, Workflow Automation, AI for Documents, Business Process Automation",1.0.0,2025-06-15,Beta,Business Administration,Adhithya
app-unique-007,Automated Email Filtering,Organize your inbox and prioritize important messages with an AI-powered email filter that learns from your behavior.,https://raw.githubusercontent.com/hereandnowai/images/refs/heads/main/app-images/ai_email_filtering.png,https://apps.hereandnowai.com/apps/ai_email_filter/,"Email Filtering, Inbox Zero, AI Productivity, Spam Filter",1.0.0,2025-06-15,Beta,Business Administration,Adhithya
app-unique-008,Sentiment Analysis of Employee Feedback,Gain valuable insights into employee morale and satisfaction by automatically analyzing sentiment in feedback and surveys.,https://raw.githubusercontent.com/hereandnowai/images/refs/heads/main/app-images/sentiment_analysis_for_employee_feedback.png,https://apps.hereandnowai.com/apps/employee_sentiment_analysis/,"Sentiment Analysis, Employee Engagement, HR Analytics, Voice of the Employee",1.0.0,2025-06-15,Beta,Business Administration,Ananthi
app-unique-010,Automated Report Generation,"Save countless hours by automating the creation of detailed business reports, from data collection to final presentation.",https://raw.githubusercontent.com/hereandnowai/images/refs/heads/main/app-images/automated_report_generator.png,https://apps.hereandnowai.com/apps/ai_automated_report_generation/,"Report Automation, Business Intelligence, Data Analytics, Automated Reporting",1.0.0,2025-06-15,Beta,Business Administration,Rashini
app-unique-011,Fraud Detection in Expense Reports,"Automatically detect and flag fraudulent or non-compliant expense claims, ensuring financial integrity and policy adherence.",https://raw.githubusercontent.com/hereandnowai/images/refs/heads/main/app-images/fraud_detection_in_expenses_report.png,https://apps.hereandnowai.com/apps/expenses_fraud_detection/,"Fraud Detection, Expense Management, FinTech, Compliance",1.0.0,2025-06-15,Beta,Business Administration,Rashini
